Apellido Paterno,Apellido Materno,Nombre,Nivel,Institución de Adscripción,Área del Conocimiento
ALCARAZ,PERAZA,LUIS DAVID,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCAUTER,SOLORZANO,SARAEL,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
ALCAZAR,BRAVO,JORGE ALBERTO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCOCER,DURAND,JAVIER,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCOCER,PAEZ,LAURA PAULINA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCOCER,MARTINEZ DE CASTRO,SERGIO MANUEL,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALCUBIERRE,MOYA,MIGUEL,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALDANA,GONZALEZ,MAXIMINO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALDUNCIN,GONZALEZ,GONZALO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALEJOS,GARCIA,JOSE OVIDIO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALEXANDROVA,sin apellido Materno,LARISSA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALFARO,MOLINA,JOSE RUBEN,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALFARO,BEREA,DIEGO ADOLFO,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALFARO,LOPEZ,HECTOR GUILLERMO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALFONSO,LOPEZ,ISMELI,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALISEDA,LLERA,ATOCHA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALLEN,ARMIÑO,CHRISTINE PATRICIA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALLENDE,ARANDIA,MARIA EUGENIA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALLIER,MONTAÑO,EUGENIA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
ALMAGUER,FLORES,ARGELIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALMANZA,SALGADO,RAFAEL,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALMEIDA,LEÑERO,LUCIA ORALIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALONSO,MORALES,ROGELIO ALEJANDRO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALONSO,DIAZ,MIGUEL ANGEL,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALONSO,NUÑEZ,GABRIEL,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALONSO,HUITRON,JUAN CARLOS,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALONSO,RODRIGUEZ,ROSALBA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALONSO,SALAS,ANGEL,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALTAMIRANO,LOZANO,MARIO AGUSTIN,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALTUZAR,COELLO,PATRICIA EUGENIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALVA,DE LA SELVA,ALMA ROSA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
ALVA,VALDIVIA,LUIS MANUEL,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
